Rank,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Year
,Luxembourg,207.3,148.9,65.6,76.3,65.3,9.1,26.1,21.8,82.6,2024
,Netherlands,198.5,103.3,73.7,78.9,64.3,7.4,23.7,21.8,87.1,2024
,Iceland,194.9,109.1,74.6,67.1,85.7,5.6,21.9,15.8,68.8,2024
,Denmark,193.6,103.3,73.7,78.0,75.2,6.8,28.7,21.9,82.5,2024
,Finland,190.4,97.3,73.7,77.3,65.5,8.3,26.0,12.0,58.9,2024
,Oman,187.0,109.6,81.0,61.0,44.4,3.1,21.9,38.4,67.2,2024
,Switzerland,186.7,118.9,74.7,72.6,112.2,11.1,33.1,22.2,79.2,2024
,Norway,184.2,94.9,67.4,75.7,79.2,7.8,26.8,18.6,71.4,2024
,Austria,181.5,84.4,70.7,76.6,66.8,11.0,24.1,21.8,77.8,2024
,Estonia,180.1,69.0,76.2,76.3,53.0,10.2,21.8,16.7,64.3,2024
,Japan,177.6,99.5,77.4,79.3,50.7,10.0,40.2,38.6,84.8,2024
,Germany,176.5,101.0,61.1,71.7,62.7,9.8,30.3,29.2,82.7,2024
,Spain,176.5,78.2,63.8,77.6,48.4,7.4,26.4,35.6,94.4,2024
,Sweden,175.0,94.6,51.6,68.6,62.2,8.1,29.1,17.7,74.0,2024
,United States,174.0,120.9,50.7,67.6,72.9,4.1,33.8,37.1,78.9,2024
,Slovenia,173.4,68.0,75.8,66.5,49.3,11.2,25.2,22.4,76.1,2024
,New Zealand,168.4,93.0,52.3,67.7,68.2,10.5,35.6,28.1,95.5,2024
,Qatar,165.9,127.4,84.0,72.3,55.0,6.7,31.0,60.5,36.0,2024
,Lithuania,165.0,61.8,67.2,74.4,48.4,11.1,23.8,26.9,67.8,2024
,Portugal,164.1,46.5,68.8,72.7,46.6,12.6,27.9,28.7,97.3,2024
,Croatia,164.0,58.0,74.0,65.1,46.9,13.4,26.0,31.3,89.0,2024
,Australia,163.8,93.6,52.9,69.8,72.8,11.0,42.8,29.4,93.8,2024
,Czech Republic,163.6,64.9,73.2,75.5,48.6,12.9,29.2,34.8,79.1,2024
,United Arab Emirates,163.2,98.7,84.4,69.2,57.8,4.2,37.4,49.0,45.8,2024
,Singapore,160.9,103.0,76.5,70.6,81.9,14.9,41.4,33.3,57.5,2024
,United Kingdom,160.3,90.1,52.6,73.5,63.7,9.9,34.6,40.5,87.7,2024
,Belgium,156.5,90.7,50.8,75.3,63.0,6.8,35.5,49.7,86.0,2024
,Saudi Arabia,155.1,105.1,73.1,60.4,47.4,3.2,30.9,64.1,55.3,2024
,Ireland,153.9,82.0,53.5,51.8,66.5,7.5,37.8,34.2,88.6,2024
,Taiwan,152.9,80.0,83.3,86.0,49.0,19.5,31.6,63.9,83.0,2024
,Latvia,152.5,51.9,62.6,62.6,51.4,9.4,29.0,30.8,74.7,2024
,France,152.0,83.4,44.7,78.1,66.0,12.3,34.8,43.4,90.6,2024
,Canada,150.2,83.3,54.8,69.1,68.4,11.0,34.6,30.2,51.4,2024
