Country,Air Pollution,Drinking Water Pollution and Inaccessibility,Dissatisfaction with Garbage Disposal,Dirty and Untidy,Noise and Light Pollution,Water Pollution,Dissatisfaction with Spending Time in the City,Dissatisfaction with Green and Parks in the City
Afghanistan,77.68,63.04,73.84,68.18,55.43,73.81,75.96,64.88
Aland Islands,16.67,4.17,12.50,16.67,45.83,10.00,8.33,25.00
Albania,69.03,66.94,67.65,63.40,52.52,67.55,60.19,63.07
Alderney,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00
Algeria,51.50,45.10,75.00,67.00,45.92,53.30,51.00,69.07
Andorra,28.57,0.00,10.71,25.00,28.57,18.75,15.91,31.25
Angola,79.41,76.39,86.76,86.76,65.79,80.56,78.12,83.82
Anguilla,?,?,?,?,?,?,?,?
Antigua And Barbuda,0.00,62.50,75.00,50.00,50.00,100.00,25.00,75.00
Argentina,42.48,31.25,52.32,57.55,53.19,55.25,36.21,35.21
Armenia,64.72,21.51,62.80,57.06,51.49,34.06,46.26,66.27
Aruba,20.45,12.50,52.50,50.00,44.44,37.50,32.50,62.50
Australia,22.69,17.84,28.29,31.92,38.74,32.86,22.31,22.75
Austria,21.13,9.20,15.99,18.31,34.47,13.83,15.89,22.13
Azerbaijan,67.54,59.68,63.02,57.26,52.85,65.42,54.00,55.53
Bahamas,52.34,47.06,70.59,65.44,41.43,59.29,48.57,50.00
Bahrain,73.66,33.59,50.79,47.35,54.92,51.19,63.78,65.98
Bangladesh,78.19,56.20,78.35,77.70,63.37,73.74,73.86,67.45
Barbados,12.50,8.33,34.38,47.22,33.33,36.11,13.89,41.67
Belarus,42.35,35.23,33.22,21.47,45.62,43.83,31.10,33.55
Belgium,45.26,29.51,45.94,53.63,54.57,41.51,36.46,36.47
Belize,42.59,37.96,70.37,62.50,45.37,64.42,39.81,48.00
Benin,87.50,87.50,100.00,100.00,75.00,75.00,75.00,50.00
Bermuda,10.94,13.24,16.18,17.65,10.29,16.18,10.29,16.67
Bhutan,45.00,35.94,53.33,43.33,55.00,56.25,39.47,18.33
Bolivia,64.35,51.92,68.42,69.87,58.13,67.95,60.64,46.79
Bonaire,?,?,?,?,?,?,?,?
Bosnia And Herzegovina,63.04,29.26,51.49,50.00,38.32,45.81,47.62,46.83
Botswana,36.36,39.77,45.45,48.86,26.14,39.29,32.61,70.00
Brazil,42.33,35.77,51.69,56.07,53.09,57.49,37.47,44.69
British Virgin Islands,50.00,25.00,87.50,87.50,75.00,75.00,62.50,62.50
Brunei,25.00,30.00,46.88,41.00,28.00,57.00,29.46,33.70
Bulgaria,68.00,30.19,56.04,58.01,50.51,40.78,50.70,33.88
Burkina Faso,?,?,?,?,?,?,?,?
Burundi,70.00,75.00,90.00,75.00,93.75,85.00,65.00,75.00
Cambodia,67.67,52.71,75.62,75.00,59.23,72.59,67.65,64.87
Cameroon,83.54,72.73,88.33,78.12,58.06,91.38,78.21,66.07
Canada,23.49,18.49,26.04,33.77,41.82,35.25,20.43,23.10
Cape Verde,?,?,?,?,?,?,?,?
Cayman Islands,14.71,19.12,38.24,25.00,14.71,35.29,13.24,42.65
Central African Republic,75.00,75.00,80.00,75.00,40.00,80.00,60.00,80.00
Chad,50.00,42.86,50.00,46.43,35.71,42.86,50.00,53.57
Chile,76.77,41.65,59.56,64.06,60.12,62.02,64.81,60.43
China,79.94,55.38,49.25,48.17,55.67,64.36,70.21,39.84
Colombia,62.99,27.56,50.37,54.76,56.54,51.42,53.04,42.77
Comoros,?,?,?,?,?,?,?,?
Cook Islands,0.00,0.00,25.00,0.00,0.00,25.00,25.00,0.00
Costa Rica,35.61,17.16,49.63,54.55,46.59,43.46,37.50,38.85
Croatia,28.87,13.75,41.77,32.05,34.62,25.20,18.93,27.33
Cuba,56.25,50.00,72.50,65.48,54.76,60.00,55.95,42.50
Curacao,62.50,8.33,38.89,63.89,20.00,35.00,42.50,72.22
Cyprus,47.57,45.19,50.24,53.10,50.00,42.31,46.67,63.10
Czech Republic,34.68,15.67,25.69,34.95,44.05,27.64,23.47,23.70
Democratic Republic of the Congo,62.50,79.17,90.00,87.50,50.00,87.50,66.67,75.00
Denmark,18.26,12.99,19.83,25.61,31.22,18.72,14.20,21.36
Djibouti,45.83,70.00,75.00,75.00,20.83,54.17,58.33,80.00
Dominica,18.75,12.50,37.50,25.00,12.50,6.25,12.50,31.25
Dominican Republic,61.79,57.96,70.00,69.95,61.47,66.04,56.53,50.23
Ecuador,52.83,37.56,51.62,53.86,56.76,56.19,47.91,36.35
Egypt,73.00,56.63,81.90,76.25,65.16,71.11,67.35,73.57
El Salvador,65.62,58.33,65.38,70.19,58.33,69.00,60.83,62.96
Equatorial Guinea,46.43,57.14,60.71,57.14,64.29,42.86,50.00,60.71
Eritrea,0.00,25.00,0.00,25.00,0.00,25.00,25.00,50.00
Estonia,12.25,9.67,20.59,17.59,30.92,15.89,9.66,17.89
Ethiopia,62.31,59.15,75.71,73.26,59.78,67.50,57.04,69.92
Falkland Islands,0.00,0.00,12.50,12.50,50.00,0.00,0.00,0.00
Faroe Islands,0.00,1.92,11.54,5.77,21.15,7.69,0.00,13.46
Fiji,42.95,27.56,53.29,52.03,46.79,60.90,48.72,43.75
Finland,8.07,3.34,10.99,17.67,23.16,13.10,7.37,16.85
France,35.69,26.55,40.90,51.46,53.60,38.79,31.58,39.24
French Guiana,18.75,25.00,87.50,87.50,75.00,12.50,17.31,50.00
French Polynesia,33.33,39.29,53.57,53.57,78.57,60.71,46.43,46.43
French Southern Territories,15.00,25.00,25.00,25.00,75.00,100.00,8.33,50.00
Gabon,55.00,65.00,81.25,80.00,15.00,90.00,75.00,87.50
Gambia,45.00,70.00,70.00,80.00,25.00,56.25,55.00,41.67
Georgia,70.31,29.78,55.87,57.01,61.34,45.26,58.56,58.29
Germany,24.97,18.21,25.98,35.50,42.06,23.20,20.45,21.75
Ghana,73.21,64.35,87.27,81.36,72.50,86.54,69.64,79.33
Gibraltar,68.75,21.88,18.75,31.25,78.12,43.75,50.00,53.12
Greece,46.74,25.00,60.07,59.75,47.43,35.53,36.72,64.63
Greenland,47.92,62.50,58.33,58.33,50.00,75.00,50.00,68.75
