Product Type,Product Name,Price,Material,Link,Informations,Pays concernés,Fabrication,Tissage,Pays d’origine du matériau,Pays de fabrication,Impression,Teinture
Jeans,Pantalon cargo en denim,29.99,"[' Coton', ' Coton recyclé']",https://www2.hm.com/fr_fr/productpage.1198921004.html,['Pays de fabrication\nBangladesh'],['Bangladesh'],[],[],[],['Bangladesh'],[],[]
Jeans,Ultra High Ankle Jeggings,29.99,"[' Coton', ' Coton recyclé', ' Polyester', ' Polyester recyclé', ' Viscose', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1152457015.html,"['Pays d’origine du matériau\nChine', 'Pays de fabrication\nChine']","['Chine', 'Chine']",[],[],['Chine'],['Chine'],[],[]
Jeans,Wide High Jeans,29.99,"[' Coton', ' Coton recyclé', ' Polyester', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.0871889058.html,['Pays de fabrication\nBangladesh'],['Bangladesh'],[],[],[],['Bangladesh'],[],[]
Jeans,Flared Low Jeans,25.99,"[' Coton', ' Coton recyclé', ' Polyester', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1183498008.html,"['Teinture\nPakistan', 'Tissage\nPakistan', 'Fabrication\nPakistan']","['Pakistan', 'Pakistan', 'Pakistan']",['Pakistan'],['Pakistan'],[],[],[],['Pakistan']
Jeans,Wide High Cropped Jeans,25.99,"[' Coton', ' Coton recyclé', ' Polyester', ' Polyester recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1199191011.html,['Pays de fabrication\nBangladesh'],['Bangladesh'],[],[],[],['Bangladesh'],[],[]
Jeans,Curvy Fit Slim High Jeans,35.99,"[' Coton', ' Coton recyclé', ' Polyester', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1213946005.html,['Pays de fabrication\nBangladesh'],['Bangladesh'],[],[],[],['Bangladesh'],[],[]
Jeans,Ultra High Ankle Jeggings,29.99,"[' Coton', ' Coton recyclé', ' Polyester', ' Polyester recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1152457014.html,['Pays de fabrication\nInde\nVietnam\nChine'],"['Inde', 'Vietnam', 'Chine']",[],[],[],"['Inde', 'Vietnam', 'Chine']",[],[]
Jeans,Slim Straight High Ankle Jeans,29.99,"[' Coton', ' Coton recyclé', ' Polyester recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1214570004.html,['Pays de fabrication\nBangladesh'],['Bangladesh'],[],[],[],['Bangladesh'],[],[]
Jeans,Slim Regular Jeans,25.99,"[' Coton', ' Coton recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1137269004.html,['Pays de fabrication\nPakistan'],['Pakistan'],[],[],[],['Pakistan'],[],[]
Jeans,Skinny Regular Ankle Jeans,39.99,"[' Coton', ' Coton recyclé', ' Polyester', ' Polyester recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1199181003.html,"['Teinture\nPakistan', 'Tissage\nPakistan', 'Fabrication\nPakistan']","['Pakistan', 'Pakistan', 'Pakistan']",['Pakistan'],['Pakistan'],[],[],[],['Pakistan']
Jeans,Skinny High Jeans,19.99,"[' Coton', ' Coton recyclé', ' Polyester', ' Polyester recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1025457035.html,['Pays de fabrication\nBangladesh'],['Bangladesh'],[],[],[],['Bangladesh'],[],[]
Jeans,Petite Fit Baggy Low Jeans,39.99,"[' Coton', ' Coton recyclé', ' Polyester', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.1218062001.html,['Pays de fabrication\nInde'],['Inde'],[],[],[],['Inde'],[],[]
Jeans,Petite Length Wide High Cropped Jeans,25.99,"[' Coton', ' Coton recyclé', ' Polyester', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1218063003.html,['Pays de fabrication\nBangladesh'],['Bangladesh'],[],[],[],['Bangladesh'],[],[]
Jeans,Baggy Wide Low Jeans,39.99,"[' Coton', ' Coton recyclé', ' Polyester', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.1199190001.html,['Pays de fabrication\nInde\nTurquie'],"['Inde', 'Turquie']",[],[],[],"['Inde', 'Turquie']",[],[]
Jeans,True To You Slim High Jeans,49.99,"[' Coton', ' Coton recyclé', ' Polyester', ' Polyester recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1091545002.html,['Pays de fabrication\nTurquie'],['Turquie'],[],[],[],['Turquie'],[],[]
Jeans,Curvy Fit Wide High Cropped Jeans,25.99,"[' Coton', ' Coton recyclé', ' Polyester', ' Polyester recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1213942002.html,['Pays de fabrication\nBangladesh'],['Bangladesh'],[],[],[],['Bangladesh'],[],[]
Jeans,Straight Regular Jeans,39.99,"[' Coton', ' Coton recyclé', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.1204746004.html,['Pays de fabrication\nBangladesh'],['Bangladesh'],[],[],[],['Bangladesh'],[],[]
Jeans,Flared High Jeans,19.99,"[' Coton', ' Coton recyclé', ' Polyester', ' Polyester recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1109636001.html,['Pays de fabrication\nBangladesh'],['Bangladesh'],[],[],[],['Bangladesh'],[],[]
Jeans,Ultra High Ankle Jeggings,29.99,"[' Coton', ' Coton recyclé', ' Polyester', ' Polyester recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1152457013.html,['Pays de fabrication\nVietnam'],['Vietnam'],[],[],[],['Vietnam'],[],[]
Jeans,Skinny High Jeans,19.99,"[' Coton', ' Coton recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1124259014.html,['Pays de fabrication\nBangladesh'],['Bangladesh'],[],[],[],['Bangladesh'],[],[]
Jeans,Wide High Jeans,35.99,"[' Coton', ' Coton recyclé', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.1216282002.html,"['Pays d’origine du matériau\nPakistan', 'Pays de fabrication\nPakistan']","['Pakistan', 'Pakistan']",[],[],['Pakistan'],['Pakistan'],[],[]
Jeans,Flared High Jeans,79.99,"[' Copolyester', ' Coton', ' Coton recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1219912001.html,['Pays de fabrication\nPakistan'],['Pakistan'],[],[],[],['Pakistan'],[],[]
Jeans,Wide High Jeans,29.99,"[' Coton', ' Coton recyclé', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.0871889053.html,['Pays de fabrication\nBangladesh'],['Bangladesh'],[],[],[],['Bangladesh'],[],[]
Jeans,Wide High Ankle Jeans,25.99,"[' Coton', ' Coton recyclé', ' Polyester', ' Polyester recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1214568002.html,['Pays de fabrication\nBangladesh'],['Bangladesh'],[],[],[],['Bangladesh'],[],[]
Jeans,Wide Ultra High Jeans,29.99,"[' Coton', ' Coton recyclé', ' Polyester', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.1222670001.html,['Pays de fabrication\nBangladesh'],['Bangladesh'],[],[],[],['Bangladesh'],[],[]
Jeans,Slim Mom High Ankle Jeans,27.99,"[' Coton', ' Coton recyclé', ' Polyester recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.0941666053.html,"['Teinture\nPakistan', 'Tissage\nPakistan', 'Fabrication\nPakistan']","['Pakistan', 'Pakistan', 'Pakistan']",['Pakistan'],['Pakistan'],[],[],[],['Pakistan']
Jeans,Baggy Wide Low Jeans,39.99,"[' Coton', ' Coton recyclé', ' Polyester', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.1199190002.html,['Pays de fabrication\nBangladesh\nTurquie'],"['Bangladesh', 'Turquie']",[],[],[],"['Bangladesh', 'Turquie']",[],[]
Jeans,Flared Low Jeans,25.99,"[' Coton', ' Coton recyclé', ' Polyester', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1183498007.html,"['Teinture\nPakistan', 'Tissage\nPakistan', 'Fabrication\nPakistan']","['Pakistan', 'Pakistan', 'Pakistan']",['Pakistan'],['Pakistan'],[],[],[],['Pakistan']
Jeans,Bootcut High Jeans,35.99,"[' Coton', ' Coton recyclé', ' Polyester', ' Polyester recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1198343010.html,['Pays de fabrication\nBangladesh'],['Bangladesh'],[],[],[],['Bangladesh'],[],[]
Jeans,Curvy Fit Slim High Jeans,35.99,"[' Coton', ' Coton recyclé', ' Polyester recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1213946004.html,['Pays de fabrication\nBangladesh'],['Bangladesh'],[],[],[],['Bangladesh'],[],[]
