Product Type,Product Name,Price,Material,Link,Informations
Pantalons,Pantalon en jersey texturé,"19,99 €","[' Polyester', ' Polyester recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1228749001.html,['Pays de fabrication\nChine']
Pantalons,Pantalon jogger taille haute,"19,99 €","[' Coton', ' Polyester']",https://www2.hm.com/fr_fr/productpage.0975845009.html,"['Teinture\nBangladesh\nInde', 'Fabrication\nBangladesh\nIndonésie\nTurquie']"
Pantalons,Legging gratté avec couture sur les genoux,"25,99 €","[' Polyester', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1212061001.html,"['Pays d’origine du matériau\nTurquie', 'Pays de fabrication\nTurquie']"
Pantalons,Pantalon de sport évasé DryMove™,"25,99 €","[' Polyester', ' Polyester recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1129988001.html,['Pays de fabrication\nCambodge\nChine']
Pantalons,Pantalon en broderie anglaise,"49,99 €","[' Coton', ' Polyester']",https://www2.hm.com/fr_fr/productpage.1227771001.html,['Pays de fabrication\nChine']
Pantalons,Legging taille haute,"12,99 €","[' Coton', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1224339001.html,['Pays de fabrication\nCambodge']
Pantalons,Pantalon worker en twill,"19,99 €",[' Coton'],https://www2.hm.com/fr_fr/productpage.1202681003.html,['Pays de fabrication\nBangladesh']
Pantalons,Pantalon à taille élastique en jersey,"14,99 €","[' Viscose', ' Viscose LivaEco™', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1159964007.html,['Pays de fabrication\nCambodge\nChine']
Pantalons,Pantalon cargo en twill,"25,99 €","[' Coton', ' Coton recyclé', ' Polyester']",https://www2.hm.com/fr_fr/productpage.1203810005.html,['Pays de fabrication\nBangladesh']
Pantalons,Pantalon cargo en twill,"29,99 €","[' Coton', ' Coton recyclé']",https://www2.hm.com/fr_fr/productpage.1210449001.html,"['Tissage\nBangladesh', 'Fabrication\nBangladesh']"
Pantalons,Pantalon cigarette,"19,99 €","[' Polyester', ' Polyester recyclé', ' Viscose', ' Viscose LivaEco™', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.0751471114.html,['Pays de fabrication\nBangladesh\nChine']
Pantalons,Pantalon effilé en lin mélangé,"25,99 €","[' Lin', "" Polyester recyclé d'origine textile"", ' Viscose', ' Viscose LivaEco™']",https://www2.hm.com/fr_fr/productpage.1145316003.html,['Pays de fabrication\nBirmanie\nChine']
