Product Type,Product Name,Price,Material,Link,Informations
Sweatshirt,Sweat oversize imprimé,"35,99 €","[' Coton', ' Coton recyclé', ' Polyester', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.1222633001.html,['Pays de fabrication\nChine']
Sweatshirt,Veste oversize zippée avec capuche,"25,99 €","[' Coton', ' Coton recyclé', ' Polyester', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.1207453004.html,"['Pays d’origine du matériau\nIndonésie', 'Pays de fabrication\nIndonésie']"
Sweatshirt,Hoodie DryMove™ en tissu Teddy bear,"49,99 €","[' Polyester', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.1179614002.html,['Pays de fabrication\nChine']
Sweatshirt,Hoodie zippé,"19,99 €","[' Coton', ' Polyester', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.0984902001.html,['Pays de fabrication\nBangladesh\nChine']
Sweatshirt,Sweat avec motif,"25,99 €","[' Coton', ' Coton recyclé', ' Polyester', ' Polyester recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1056840068.html,['Pays de fabrication\nVietnam\nChine']
Sweatshirt,Veste de survêtement,"29,99 €","[' Polyester', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.1215786001.html,['Pays de fabrication\nChine']
Sweatshirt,Sweat oversize,"15,99 €","[' Coton', ' Coton recyclé', ' Polyester', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.1110764008.html,"['Teinture\nBangladesh', 'Fabrication\nBangladesh']"
Sweatshirt,Sweat,"15,99 €","[' Coton', ' Coton recyclé', ' Polyester', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.1143405026.html,['Pays de fabrication\nBangladesh']
Sweatshirt,Sweat avec motif,"25,99 €","[' Coton', ' Coton recyclé', ' Polyester', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.1056840071.html,"['Pays d’origine du matériau\nVietnam', 'Pays de fabrication\nCambodge']"
Sweatshirt,Sweat à capuche,"19,99 €","[' Coton', ' Polyester']",https://www2.hm.com/fr_fr/productpage.0456163183.html,[]
Sweatshirt,Sweat oversize,"39,99 €","[' Coton', ' Polyester']",https://www2.hm.com/fr_fr/productpage.1232606001.html,['Pays de fabrication\nMaroc']
Sweatshirt,Sweat à capuche,"19,99 €","[' Coton', ' Polyester', ' Viscose']",https://www2.hm.com/fr_fr/productpage.0456163139.html,"['Teinture\nBangladesh', 'Fabrication\nBangladesh']"
Sweatshirt,Hoodie oversize,"25,99 €","[' Coton', ' Coton recyclé', ' Polyester', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.1087261003.html,['Pays de fabrication\nBangladesh\nIndonésie\nTurquie']
Sweatshirt,Sweat imprimé,"29,99 €","[' Coton', ' Coton recyclé', ' Polyester', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.1100429023.html,['Pays de fabrication\nBangladesh']
Sweatshirt,Sweat imprimé,"25,99 €","[' Coton', ' Coton recyclé', ' Polyester', ' Polyester recyclé', ' Viscose']",https://www2.hm.com/fr_fr/productpage.1096931025.html,"['Teinture\nBangladesh', 'Fabrication\nBangladesh']"
Sweatshirt,Hoodie oversize,"25,99 €","[' Coton', ' Coton recyclé', ' Polyester']",https://www2.hm.com/fr_fr/productpage.1087261031.html,['Pays de fabrication\nIndonésie']
Sweatshirt,Sweat oversize,"19,99 €","[' Coton', ' Coton recyclé', ' Polyester', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.0994088025.html,['Pays de fabrication\nBangladesh']
Sweatshirt,Sweat de sport oversize,"29,99 €","[' Coton', ' Coton biologique']",https://www2.hm.com/fr_fr/productpage.1075451035.html,['Pays de fabrication\nTurquie']
Sweatshirt,Sweat oversize,"19,99 €","[' Coton', ' Coton recyclé', ' Polyester', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.0994088024.html,['Pays de fabrication\nBangladesh']
Sweatshirt,Hoodie oversize,"25,99 €","[' Coton', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1163636004.html,['Pays de fabrication\nBangladesh']
Sweatshirt,Veste oversize zippée avec capuche,"25,99 €","[' Coton', ' Coton recyclé', ' Polyester', ' Polyester recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1139538005.html,['Pays de fabrication\nBangladesh\nTurquie']
Sweatshirt,Hoodie oversize,"25,99 €","[' Coton', ' Coton recyclé', ' Polyester', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.1087261014.html,"['Teinture\nBangladesh', 'Fabrication\nBangladesh']"
Sweatshirt,Veste oversize imprimée avec capuche et zip,"29,99 €","[' Coton', ' Polyester', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.1198280009.html,['Pays de fabrication\nChine']
Sweatshirt,Hoodie oversize avec motif imprimé,"35,99 €","[' Coton', ' Coton recyclé', ' Polyester', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.1186488001.html,['Pays de fabrication\nBangladesh']
Sweatshirt,Sweat,"15,99 €","[' Coton', ' Polyester', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.0889828001.html,['Pays de fabrication\nBangladesh\nIndonésie\nMexique']
Sweatshirt,Veste oversize zippée avec capuche,"25,99 €","[' Coton', ' Coton recyclé', ' Polyester', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.1207453001.html,[]
Sweatshirt,Veste de sport zippée DryMove™ avec capuche,"52,99 €","[' Polyester', ' Polyester recyclé', ' Viscose']",https://www2.hm.com/fr_fr/productpage.1216424001.html,['Pays de fabrication\nChine']
Sweatshirt,Sweat oversize,"15,99 €","[' Coton', ' Coton recyclé', ' Polyester', ' Polyester recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1110764001.html,"['Teinture\nBangladesh', 'Fabrication\nBangladesh']"
Sweatshirt,Hoodie sans manches,"19,99 €","[' Coton', ' Polyester']",https://www2.hm.com/fr_fr/productpage.1008186001.html,"['Pays d’origine du matériau\nBangladesh', 'Pays de fabrication\nBangladesh']"
Sweatshirt,Sweat,"15,99 €","[' Coton', ' Polyester']",https://www2.hm.com/fr_fr/productpage.0889828068.html,"['Pays d’origine du matériau\nBangladesh\nMexique', 'Pays de fabrication\nBangladesh\nMexique']"
Sweatshirt,Hoodie oversize imprimé,"29,99 €","[' Coton', ' Coton recyclé', ' Polyester', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.1159344003.html,['Pays de fabrication\nBangladesh']
Sweatshirt,Sweat de sport oversize,"29,99 €","[' Coton', ' Coton biologique']",https://www2.hm.com/fr_fr/productpage.1075451024.html,['Pays de fabrication\nCambodge']
Sweatshirt,Sweat,"15,99 €","[' Coton', ' Polyester', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1225223004.html,['Pays de fabrication\nBangladesh']
