Product Type,Product Name,Price,Material,Link,Informations
Hauts,Top épaules nues en jersey,"14,99 €","[' Coton', ' Coton recyclé']",https://www2.hm.com/fr_fr/productpage.1149098003.html,"['Teinture\nBangladesh', 'Fabrication\nBangladesh']"
Hauts,Débardeur côtelé avec boutons,"9,99 €","[' Polyester', ' Polyester recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1242393001.html,"['Teinture\nTurquie', 'Fabrication\nChine\nTurquie']"
Hauts,Top à manches longues en microfibre,"15,99 €","[' Polyamide', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1191700006.html,['Pays de fabrication\nCambodge\nTurquie']
Hauts,Top façon corset,"17,99 €","[' Coton', ' Coton recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1224941002.html,['Pays de fabrication\nBirmanie']
Hauts,Top vaporeux à encolure bateau,"9,99 €","[' Polyester', ' Polyester recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1228491003.html,['Pays de fabrication\nCambodge']
Hauts,Top à encolure carrée,"9,99 €","[' Polyester', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1171543001.html,"['Teinture\nChine', 'Fabrication\nBangladesh\nCambodge\nBirmanie\nChine\nTurquie']"
Hauts,T-shirt imprimé,"7,99 €",[' Coton'],https://www2.hm.com/fr_fr/productpage.1207443016.html,['Pays de fabrication\nBirmanie']
Hauts,Lot de 2 tops à bretelles fines,"12,99 €","[' Coton', ' Coton recyclé', ' Polyester', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1176889004.html,['Pays de fabrication\nBangladesh']
Hauts,Top à bretelles fines avec dos ouvert,"15,99 €","[' Polyester', ' Polyester recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1210625002.html,['Pays de fabrication\nBirmanie']
Hauts,Top de sport côtelé DryMove™,"25,99 €","[' Modal', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1217629001.html,['Pays de fabrication\nTurquie']
