Product Name,Price,Materials,Factory,Factory Link,Product Type,Country
The Original Curvy Cheeky® Jean,118.0,"['Organic cotton', 'Elastane']",Made at our Hirdaramani Factory in Sri Lanka.,Factory Link Not Found,Jeans,['Sri Lanka']
The Way-High® Jean,142.0,"['Organic cotton', 'Elastane']","Made in Bien Hoa, VN",/factories/denim-saitex,Jeans,['Vietnam']
The A-Line Denim Short,81.0,['Organic cotton'],Made at our Hirdaramani Factory in Sri Lanka.,Factory Link Not Found,Jeans,['Sri Lanka']
The Summer Barrel Jean,142.0,"['Organic cotton', 'Tencel™ with refibra™']",Made at Phong Phu International Joint Stock Company in Vietnam.,Factory Link Not Found,Jeans,['Vietnam']
The Cheeky Relaxed Straight Jean,142.0,"['Organic cotton', 'Elastane']","Made in Bien Hoa, VN",/factories/denim-saitex,Jeans,['Vietnam']
The Way-High® Curve Jean,154.0,"['Organic cotton', 'Elastane']","Made in Bien Hoa, VN",/factories/denim-saitex,Jeans,['Vietnam']
The Cheeky Relaxed Straight Jean,142.0,"['Organic cotton', 'Elastane']","Made in Bien Hoa, VN",/factories/denim-saitex,Jeans,['Vietnam']
The Way-High® Sailor Jean,154.0,"['Organic cotton', 'Elastane', 'Other fibers']","Made in Bien Hoa, VN",/factories/denim-saitex,Jeans,['Vietnam']
The Original Cheeky® Jean,118.0,"['Organic cotton', 'Elastane']",Made at our Hirdaramani Factory in Sri Lanka.,Factory Link Not Found,Jeans,['Sri Lanka']
The Curvy Way-High® Jean,142.0,['Elastane'],"Made in Bien Hoa, VN",/factories/denim-saitex,Jeans,['Vietnam']
The Way-High® Sailor Jean,154.0,"['Organic cotton', 'Elastane']","Made in Bien Hoa, VN",/factories/denim-saitex,Jeans,['Vietnam']
The Cheeky Relaxed Jean Short,81.0,['Organic cotton'],Made at Phong Phu International Joint Stock Company in Vietnam.,Factory Link Not Found,Jeans,['Vietnam']
The Way-High® Gardener Cropped Jean,165.0,['Organic cotton'],Made at Hirdaramani in Vietnam,Factory Link Not Found,Jeans,['Vietnam']
The Way-High® Sailor Jean,154.0,"['Organic cotton', 'Elastane']","Made in Bien Hoa, VN",/factories/denim-saitex,Jeans,['Vietnam']
The Kick Bootcut Jean,154.0,"['Organic cotton', 'Lenzing™ ecovero™ viscose', 'Recycled polyester', 'Modal', 'Elastane']","Made in Bien Hoa, VN",/factories/denim-saitex,Jeans,"['Sri Lanka', 'China']"
The Way-High® Gardener Cropped Jean,165.0,['Organic cotton'],Made at Hirdaramani in Vietnam,Factory Link Not Found,Jeans,['Vietnam']
The Denim Barrel Jacket,177.0,['Organic cotton'],"Made in Bien Hoa, VN",/factories/denim-saitex,Jeans,['Vietnam']
The Cheeky Relaxed Jean Short,81.0,['Organic cotton'],Made at Phong Phu International Joint Stock Company in Vietnam.,Factory Link Not Found,Jeans,"['Sri Lanka', 'China']"
The Kick Bootcut Jean,154.0,"['Organic cotton', 'Lenzing™ ecovero™ viscose', 'Polyester', 'Elastane']","Made in Bien Hoa, VN",/factories/denim-saitex,Jeans,['Vietnam']
The Cheeky Relaxed Jean Short,81.0,"['Organic cotton', 'Elastane']",Made at Phong Phu International Joint Stock Company in Vietnam.,Factory Link Not Found,Jeans,['Vietnam']
The Way-High® Curve Jean,154.0,"['Organic cotton', 'Elastane']","Made in Bien Hoa, VN",/factories/denim-saitex,Jeans,['Vietnam']
The Way-High® Curve Jean,154.0,"['Organic cotton', 'Elastane']","Made in Bien Hoa, VN",/factories/denim-saitex,Jeans,['Vietnam']
The Way-High® Curve Jean,154.0,"['Organic cotton', 'Elastane']","Made in Bien Hoa, VN",/factories/denim-saitex,Jeans,['Vietnam']
The Rigid Way-High® Jean,132.0,['Organic cotton'],"Made in Bien Hoa, VN",/factories/denim-saitex,Jeans,['Vietnam']
